carat;cut;color;clarity;depth;table;EUR;x;y;z;Verfügbar
0,52;Good;H;VS2;63,5;58; 1165;5,11;5,12;3,25;TRUE
0,71;Ideal;E;VS1;61,5;55; 3389;5,78;5,75;3,55;TRUE
0,50;Very Good;F;VS1;62,3;55; 1546;5,06;5,09;3,16;TRUE
0,54;Ideal;E;VS1;61,0;56; 1845;5,35;5,24;3,23;FALSE
0,90;Premium;D;SI1;61,2;60; 3892;6,19;6,14;3,77;TRUE
1,21;Good;J;SI2;63,7;55; 3860;6,81;6,75;4,32;TRUE
1,71;Ideal;G;VVS2;62,1;55;16819;7,63;7,66;4,75;TRUE
0,71;Premium;F;SI2;59,6;59; 2178;5,79;5,75;3,44;FALSE
0,72;Ideal;I;VS2;61,7;56; 2396;5,75;5,80;3,56;TRUE
0,31;Ideal;F;VS2;61,6;55;  565;4,36;4,37;2,69;TRUE
0,40;Premium;E;SI1;61,0;59;  797;4,74;4,71;2,88;TRUE
1,01;Good;E;SI1;56,9;61; 4456;6,65;6,60;3,77;TRUE
0,34;Fair;J;SI1;64,5;57;  449;4,38;4,36;2,82;TRUE
1,53;Premium;J;VVS1;61,6;59; 8640;7,39;7,35;4,54;FALSE
0,72;Ideal;E;SI1;61,0;56; 2691;5,82;5,85;3,56;FALSE
0,50;Premium;E;SI1;63,0;59; 1279;5,01;4,99;3,15;TRUE
0,34;Premium;G;IF;60,5;58;  849;4,52;4,47;2,72;FALSE
0,30;Very Good;G;VS2;63,1;56;  610;4,28;4,25;2,69;TRUE
1,32;Ideal;G;VS1;62,6;56; 9024;7,05;7,00;4,40;FALSE
0,90;Very Good;E;VS2;62,5;58; 4797;6,14;6,18;3,85;FALSE
1,01;Premium;E;SI1;62,8;59; 5063;6,31;6,27;3,95;TRUE
0,56;Premium;G;SI2;59,6;58;  997;5,42;5,35;3,21;TRUE
1,32;Very Good;J;SI1;63,5;57; 4211;6,98;6,95;4,42;TRUE
1,03;Premium;I;SI1;61,0;58; 3651;6,52;6,47;3,96;FALSE
0,30;Good;H;VS1;63,9;55;  475;4,26;4,28;2,73;TRUE
0,34;Ideal;G;VS2;62,0;56;  538;4,47;4,50;2,78;TRUE
2,38;Premium;J;SI1;62,4;58;11180;8,54;8,46;5,31;TRUE
0,70;Very Good;I;SI1;63,2;59; 1709;5,59;5,62;3,54;TRUE
0,85;Premium;J;VS2;60,7;58; 2075;6,12;6,08;3,71;TRUE
0,41;Ideal;G;IF;62,3;55; 1236;4,75;4,78;2,97;FALSE
0,41;Ideal;F;VVS1;61,8;54; 1096;4,78;4,83;2,97;TRUE
0,70;Very Good;I;SI1;63,0;56; 1941;5,61;5,66;3,55;FALSE
0,40;Ideal;H;VVS1;61,4;57;  983;4,81;4,74;2,93;TRUE
0,30;Good;E;VS2;63,4;56;  555;4,26;4,29;2,71;FALSE
1,21;Premium;E;VS1;60,3;58; 9166;6,95;6,91;4,18;TRUE
1,00;Premium;G;I1;62,5;62; 2698;6,42;6,35;3,99;TRUE
1,32;Very Good;F;IF;62,4;58;13421;6,97;7,01;4,36;TRUE
0,34;Ideal;H;IF;61,6;54;  780;4,49;4,53;2,78;FALSE
0,52;Premium;E;SI1;60,3;58; 1237;5,20;5,24;3,15;TRUE
0,43;Good;H;VVS1;60,0;61;  904;4,91;4,93;2,95;TRUE
0,34;Premium;G;VS2;61,2;62;  691;4,48;4,44;2,73;TRUE
0,53;Good;H;VS1;57,6;64; 1159;5,41;5,36;3,10;TRUE
1,22;Ideal;I;SI1;62,6;57; 5251;6,80;6,77;4,25;TRUE
1,08;Ideal;E;VVS1;61,5;58;12654;6,57;6,64;4,06;FALSE
0,59;Ideal;E;VVS2;60,2;56; 2308;5,46;5,51;3,30;TRUE
1,21;Very Good;I;VS2;63,4;57; 4871;6,79;6,72;4,28;TRUE
0,31;Ideal;E;VS1;61,2;55;  652;4,40;4,43;2,70;TRUE
1,54;Premium;J;VS1;60,9;61; 5601;7,49;7,45;4,55;FALSE
2,52;Good;G;SI2;63,7;59;15922;8,57;8,52;5,44;TRUE
2,12;Ideal;H;SI2;62,4;57;14890;8,19;8,16;5,10;TRUE
0,37;Ideal;E;VVS2;61,8;54;  810;4,61;4,64;2,86;FALSE
0,57;Ideal;D;VS2;62,1;56; 1685;5,29;5,34;3,30;TRUE
0,34;Ideal;G;VS2;62,1;55;  691;4,49;4,46;2,78;TRUE
0,82;Premium;E;SI1;61,2;61; 2903;5,98;5,95;3,65;TRUE
0,30;Very Good;D;SI2;63,4;56;  519;4,29;4,26;2,71;FALSE
0,30;Ideal;G;VVS1;62,6;55;  680;4,27;4,32;2,69;TRUE
0,50;Very Good;H;IF;61,0;60; 1626;5,08;5,12;3,11;FALSE
1,14;Premium;H;SI2;60,6;59; 4252;6,77;6,80;4,11;TRUE
1,50;Very Good;D;SI1;62,0;63;10791;7,27;7,31;4,52;FALSE
1,01;Very Good;H;SI1;59,8;61; 4232;6,54;6,51;3,90;TRUE
1,70;Very Good;H;SI2;63,5;58; 6542;7,50;7,43;4,74;TRUE
0,23;Very Good;E;VVS2;61,4;55;  414;3,92;3,99;2,43;FALSE
1,00;Very Good;F;VS2;58,7;62; 5361;6,51;6,60;3,85;FALSE
0,30;Very Good;F;VVS1;61,8;55;  708;4,32;4,35;2,68;FALSE
0,25;Ideal;F;VS1;61,8;56;  538;4,07;4,09;2,52;TRUE
1,02;Ideal;H;SI2;59,8;58; 4288;6,55;6,59;3,93;TRUE
1,01;Premium;G;VS1;59,8;59; 5798;6,50;6,55;3,90;TRUE
0,70;Very Good;I;VS1;61,9;58; 2083;5,70;5,73;3,54;TRUE
0,32;Ideal;E;VS2;62,0;57;  813;4,41;4,39;2,73;FALSE
0,90;Very Good;D;IF;62,4;54; 8303;6,17;6,21;3,86;TRUE
1,51;Premium;G;VVS2;62,9;60;12504;7,30;7,21;4,56;FALSE
0,32;Very Good;I;VVS1;63,0;58;  532;4,32;4,38;2,74;TRUE
1,32;Ideal;I;VVS1;61,0;56; 7687;7,09;7,07;4,32;TRUE
0,78;Good;F;SI2;62,7;61; 2210;5,80;5,84;3,65;TRUE
0,33;Very Good;E;VS2;62,8;56;  653;4,41;4,45;2,78;TRUE
0,50;Very Good;G;SI1;60,0;63; 1162;5,10;5,06;3,05;TRUE
0,62;Premium;J;VVS2;60,9;58; 1279;5,50;5,56;3,37;TRUE
0,40;Good;D;VS2;63,5;56;  710;4,66;4,72;2,98;TRUE
0,52;Ideal;F;VS2;61,2;56; 1469;5,19;5,37;3,20;TRUE
0,52;Very Good;J;VS2;60,7;56; 1031;5,19;5,23;3,16;TRUE
0,41;Premium;F;SI1;59,8;59;  682;4,82;4,85;2,89;TRUE
0,40;Premium;G;VS1;60,3;59;  793;4,76;4,80;2,88;TRUE
1,11;Very Good;G;SI1;60,7;59; 7400;6,60;6,65;4,02;TRUE
0,91;Ideal;G;VS2;61,4;57; 4542;6,23;6,28;3,84;FALSE
0,51;Very Good;J;VS2;58,0;62;  911;5,24;5,27;3,05;TRUE
1,10;Ideal;E;I1;61,9;56; 3501;6,59;6,63;4,09;FALSE
0,33;Ideal;I;VS2;62,4;56;  418;4,39;4,43;2,75;TRUE
0,31;Premium;E;VVS1;58,9;59;  876;4,48;4,41;2,62;FALSE
0,71;Ideal;D;SI1;63,0;55; 2436;5,64;5,57;3,53;FALSE
1,65;Premium;G;I1;62,0;59; 6250;7,57;7,53;4,68;TRUE
0,34;Ideal;E;SI1;61,4;54;  691;4,53;4,50;2,77;TRUE
0,80;Premium;D;SI1;62,7;59; 2995;5,89;5,85;3,68;TRUE
0,70;Very Good;H;SI1;58,5;65; 2238;5,81;5,84;3,41;FALSE
0,30;Good;E;SI1;63,7;59;  475;4,21;4,27;2,70;TRUE
1,01;Very Good;G;VS1;62,5;56; 6190;6,36;6,40;3,99;TRUE
0,28;Premium;E;VVS1;61,1;60;  748;4,21;4,17;2,56;TRUE
0,55;Ideal;H;VS1;61,2;56; 1524;5,26;5,30;3,23;FALSE
0,50;Very Good;G;SI1;62,3;58; 1042;5,06;5,08;3,16;TRUE
0,56;Ideal;D;VS1;60,4;56; 1832;5,36;5,33;3,23;TRUE
0,26;Very Good;F;SI1;61,3;55;  362;4,15;4,21;2,56;TRUE
